pattern	responses
Hi	https://media.giphy.com/media/9XeR2SAyL9YixCYN0b/giphy.gif
How are you	https://media.giphy.com/media/kelBe4wdeugFwq5hhY/giphy.gif
Is anyone there?	https://media.giphy.com/media/16pLCtXiRDKCXsj7uO/giphy.gif
Hello	https://media.giphy.com/media/9XeR2SAyL9YixCYN0b/giphy.gif
Good day	https://media.giphy.com/media/WG1YcoKVPwhR30HWP9/giphy.gif
Bye	https://media.giphy.com/media/WG1YcoKVPwhR30HWP9/giphy.gif
See you later	https://media.giphy.com/media/WG1YcoKVPwhR30HWP9/giphy.gif
Goodbye	https://media.giphy.com/media/WG1YcoKVPwhR30HWP9/giphy.gif
Thanks	https://media.giphy.com/media/1iqHYXsd9KsFOqPIBi/giphy.gif
Thank you	https://media.giphy.com/media/1iqHYXsd9KsFOqPIBi/giphy.gif
That's helpful	https://media.giphy.com/media/1iqHYXsd9KsFOqPIBi/giphy.gif
I am bored	https://media.giphy.com/media/QlL2K0TVgpWBZbsztp/giphy.gif
What should I do when I am bored?	https://media.giphy.com/media/0x57czOxquMF5108yi/giphy.gif
What do in my free time?	https://media.giphy.com/media/w5UFFDvb7jSFT0gtqC/giphy.gif
I am Sad today	https://media.giphy.com/media/Tbxmb5eNe0Bnq/giphy.gif
My heart is filled with sorrowness	https://media.giphy.com/media/3o6Zt0QsfSL5n7Z4LC/giphy.gif
Finally I did it	https://media.giphy.com/media/57UCJutzbAWdUrVIyv/giphy.gif
I am so Happy	https://media.giphy.com/media/57UCJutzbAWdUrVIyv/giphy.gif
I am on cloud nine	https://media.giphy.com/media/57UCJutzbAWdUrVIyv/giphy.gif
I am down	https://media.giphy.com/media/ACJuukdjBl65FwUFzT/giphy.gif
depressed	https://media.giphy.com/media/KMklGIRKOKoZC7GcjV/giphy.gif
